brand,evidence_level,experience_factor,mentions,prevalence_pct,interpretation,metric_definition,review_base_n,scope,potential_revenue_mechanism,causal_status,financial_impact_status
"But First, Coffee",Management Dimension,Product Quality,52,50.0,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Perceived value / repeat purchase,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Packaging,20,19.230769230769234,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Delivery experience / service recovery,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Value & Portion,20,19.230769230769234,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Perceived value / purchase response,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Order Execution,16,15.384615384615383,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Transaction protection / service recovery,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Availability & Consistency,14,13.461538461538462,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Conversion / repeat purchase,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Customization & Add-ons,13,12.5,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Upsell execution / incremental transaction value,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Service & Delivery,8,7.6923076923076925,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Retention / transaction experience,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Management Dimension,Loyalty Experience,4,3.8461538461538463,Share of collected BFC reviews mentioning this management dimension,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Retention / purchase frequency,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Taste,49,47.11538461538461,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Packaging,20,19.230769230769234,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Value,16,15.384615384615383,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Consistency,14,13.461538461538462,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Order Accuracy,11,10.576923076923077,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Portion,10,9.615384615384617,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Customization,9,8.653846153846153,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Service,6,5.769230769230769,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Missing Item,4,3.8461538461538463,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Add-on,4,3.8461538461538463,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Speed,2,1.9230769230769231,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Size Accuracy,0,0.0,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
"But First, Coffee",Atomic Theme,Availability,0,0.0,Share of collected BFC reviews mentioning this theme,Mention prevalence — not dissatisfaction rate,104,Collected external BFC review evidence,Descriptive theme evidence,Association / descriptive evidence only,Not quantified from external data
