price_change_pct,volume_change_pct,revenue_index,revenue_change_pct,scenario_type,scenario_assumption,revenue_outcome
0.0,0.0,1.0,0.0,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Neutral
0.0,-2.0,0.98,-2.0000000000000018,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
0.0,-5.0,0.95,-5.000000000000004,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
0.0,-8.0,0.92,-7.9999999999999964,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
0.0,-10.0,0.9,-9.999999999999998,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
3.0,0.0,1.03,3.0000000000000027,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
3.0,-2.0,1.0094,0.9400000000000076,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
3.0,-5.0,0.9785,-2.1500000000000075,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
3.0,-8.0,0.9476,-5.2399999999999896,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
3.0,-10.0,0.927,-7.299999999999995,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
5.0,0.0,1.05,5.000000000000004,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
5.0,-2.0,1.029,2.8999999999999915,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
5.0,-5.0,0.9975,-0.2500000000000058,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
5.0,-8.0,0.966,-3.399999999999992,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
5.0,-10.0,0.945,-5.499999999999994,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
7.000000000000001,0.0,1.07,7.000000000000006,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
7.000000000000001,-2.0,1.0486,4.859999999999998,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
7.000000000000001,-5.0,1.0165,1.649999999999996,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
7.000000000000001,-8.0,0.9844,-1.5599999999999947,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
7.000000000000001,-10.0,0.963,-3.699999999999992,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
10.0,0.0,1.1,10.000000000000009,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
10.0,-2.0,1.078,7.800000000000007,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
10.0,-5.0,1.045,4.499999999999993,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
10.0,-8.0,1.0120000000000002,1.2000000000000233,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Increase
10.0,-10.0,0.99,-0.9999999999999898,Price × Volume,Revenue change under combined price and volume response; before costs,Revenue Decrease
