scenario_type,scenario_value_pct,outcome_value_pct,outcome_label,scenario_assumption,input_label,evidence_type,profitability_status
Selective Pricing,0,0.0,Revenue-Neutral Volume Decline,Revenue-neutral volume response before costs,Price Increase %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Selective Pricing,3,2.9126213592232997,Revenue-Neutral Volume Decline,Revenue-neutral volume response before costs,Price Increase %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Selective Pricing,5,4.761904761904767,Revenue-Neutral Volume Decline,Revenue-neutral volume response before costs,Price Increase %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Selective Pricing,7,6.542056074766355,Revenue-Neutral Volume Decline,Revenue-neutral volume response before costs,Price Increase %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Selective Pricing,10,9.090909090909092,Revenue-Neutral Volume Decline,Revenue-neutral volume response before costs,Price Increase %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,5,5.263157894736836,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,10,11.111111111111116,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,15,17.647058823529417,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,20,25.0,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,25,33.33333333333333,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Discount Economics,30,42.85714285714286,Required Volume Increase,Required volume increase for revenue neutrality before costs,Discount %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,0,0.0,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,5,1.923076923076916,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,10,3.8461538461538542,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,15,5.769230769230771,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,20,7.692307692307687,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,25,9.615384615384626,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
Basket Building,30,11.538461538461542,ATV Increase,Illustrative ₱130 base beverage plus ₱50 incremental attached item; transactions held constant,Attachment Rate %,Scenario Analysis,Revenue scenario only — cost and contribution margin unavailable
